modulo,modulo_nome,rf,id,tipo,fonte,status,onda,codigo,teste_faturamento,resumo
1,Especificações Gerais do Sistema,1,RF-1.1,Obrigatório,TR,não iniciado,P0-P6,,n/a,"O Sistema pode ser entregue como solução única, em módulos separados ou como conjunto de sistemas interoperáveis, contanto que atenda integralmente aos critério"
1,Especificações Gerais do Sistema,2,RF-1.2,Obrigatório,TR,parcial,P0-P6,apps/api/src/auth,n/a,"Banco de Dados singular, hospedado em servidor de alta performance em data center, permitindo que todos os usuários interajam em tempo real (inclusão/alteração/"
1,Especificações Gerais do Sistema,3,RF-1.3,Obrigatório,TR,não iniciado,P0-P6,,n/a,"Usuários somente acessam as informações do Banco de Dados através da aplicação, de forma on-line."
1,Especificações Gerais do Sistema,4,RF-1.4,Obrigatório,TR,parcial,P0-P6,apps/api/src/auth#users,n/a,"Proteção dos dados assegurada pelo sistema aplicativo, sem depender de ferramentas do banco de dados para gerenciamento de acesso."
1,Especificações Gerais do Sistema,5,RF-1.5,Desejável,TR,não iniciado,P0-P6,,n/a,"Interfaces de usuário padronizadas (tela de acesso, botões, navegação), exceto interfaces específicas de configuração de ambiente."
1,Especificações Gerais do Sistema,6,RF-1.6,Obrigatório,TR,não iniciado,P0-P6,,n/a,"Acesso obrigatório via navegadores: no mínimo Firefox, Chrome, Edge, Opera e Safari."
1,Especificações Gerais do Sistema,7,RF-1.7,Obrigatório,TR,não iniciado,P0-P6,,n/a,"Ambiente multiusuário, com uso simultâneo por diversos usuários."
1,Especificações Gerais do Sistema,8,RF-1.8,Desejável,TR,não iniciado,P0-P6,,n/a,"Suporte a múltiplos exercícios, permitindo consulta a dados de qualquer exercício de forma integrada, sem uso de múltiplos executáveis por módulo."
1,Especificações Gerais do Sistema,9,RF-1.9,Desejável,TR,não iniciado,P0-P6,,n/a,"Criação de favoritos para tarefas/telas específicas, reduzindo navegação por menus."
1,Especificações Gerais do Sistema,10,RF-1.10,Obrigatório,TR,não iniciado,P0-P6,,n/a,Emissão de relatórios com opção de campos para assinatura ao final do documento.
1,Especificações Gerais do Sistema,11,RF-1.11,Desejável,TR,não iniciado,P0-P6,,n/a,"Relatórios com personalização de layout, incluindo impressão de brasões."
1,Especificações Gerais do Sistema,12,RF-1.12,Obrigatório,TR,não iniciado,P0-P6,,n/a,Envio de relatórios por e-mail diretamente da tela de visualização/geração.
1,Especificações Gerais do Sistema,13,RF-1.13,Obrigatório,TR,não iniciado,P0-P6,,n/a,"Acesso ao gerador (designer) de relatórios para customização, com opção de restaurar modelos padrão."
1,Especificações Gerais do Sistema,14,RF-1.14,Obrigatório,TR,parcial,P0-P6,apps/api/.../audit + auth,n/a,"Log histórico detalhado de todas as operações por usuário (alterações, exclusões, visualizações), disponível para consulta e impressão (auditoria)."
1,Especificações Gerais do Sistema,15,RF-1.15,Desejável,TR,não iniciado,P0-P6,,n/a,"Armazenamento temporal de relatórios, acessível depois via menu de acesso rápido."
1,Especificações Gerais do Sistema,16,RF-1.16,Obrigatório,TR,não iniciado,P0-P6,,n/a,"Solicitação de cadastro por ""Primeiro Acesso"" (matrícula funcional, CPF, data de nascimento), com envio de senha por e-mail após validação."
1,Especificações Gerais do Sistema,17,RF-1.17,Desejável,TR,não iniciado,P0-P6,,n/a,Manuais de orientação (documentos ou videoaulas) sobre funcionalidades e uso das telas.
1,Especificações Gerais do Sistema,18,RF-1.18,Obrigatório,TR,não iniciado,P0-P6,,n/a,Quantidade ilimitada de usuários cadastrados.
1,Especificações Gerais do Sistema,19,RF-1.19,Obrigatório,TR,não iniciado,P0-P6,,n/a,"Sem limitação de usuários simultâneos, mesmo em tarefas/telas iguais com registros distintos, mantendo integridade dos dados."
1,Especificações Gerais do Sistema,20,RF-1.20,Obrigatório,TR,não iniciado,P0-P6,,n/a,"Acesso com senha única por usuário, dando acesso a todas as funcionalidades permitidas."
1,Especificações Gerais do Sistema,21,RF-1.21,Obrigatório,TR,não iniciado,P0-P6,,n/a,"Interface para solicitação de senha pelo usuário e interface de aprovação para gestores, com envio automático de e-mail informando liberação de acesso."
1,Especificações Gerais do Sistema,22,RF-1.22,Obrigatório,TR,não iniciado,P0-P6,,n/a,Interface para criação de grupos de usuários com perfis específicos.
1,Especificações Gerais do Sistema,23,RF-1.23,Obrigatório,TR,não iniciado,P0-P6,,n/a,Cadastramento de grupos de usuários com atribuições e direitos semelhantes.
1,Especificações Gerais do Sistema,24,RF-1.24,Obrigatório,TR,não iniciado,P0-P6,,n/a,Grupos de usuários com associação de funcionalidades e definição de níveis de comando no banco (alterar/excluir/visualizar).
1,Especificações Gerais do Sistema,25,RF-1.25,Obrigatório,TR,não iniciado,P0-P6,,n/a,"Associação de usuário a grupo existente, herdando características de segurança do grupo."
1,Especificações Gerais do Sistema,26,RF-1.26,Obrigatório,TR,não iniciado,P0-P6,,n/a,Especialização dos direitos de acesso de um usuário vinculado a qualquer grupo.
1,Especificações Gerais do Sistema,27,RF-1.27,Obrigatório,TR,não iniciado,P0-P6,,n/a,Inclusão de usuários sem senha prévia; senha definida pelo próprio usuário no primeiro acesso.
1,Especificações Gerais do Sistema,28,RF-1.28,Desejável,TR,não iniciado,P0-P6,,n/a,"Troca de senha pelo próprio usuário, sem depender de TI, mantendo histórico de acesso por usuário (não por senha)."
1,Especificações Gerais do Sistema,29,RF-1.29,Desejável,TR,não iniciado,P0-P6,,n/a,"Cadastramento de todos os usuários desejados, com indicação de direito de acesso por funcionalidade."
1,Especificações Gerais do Sistema,30,RF-1.30,Obrigatório,TR,não iniciado,P0-P6,,n/a,"Definição de acessos por nível de comando no banco: alterações, exclusões, visualizações."
1,Especificações Gerais do Sistema,31,RF-1.31,Obrigatório,TR,não iniciado,P0-P6,,n/a,"Gerador de consultas padrão SQL para pesquisas (somente consulta, sem permissão de alteração no BD)."
1,Especificações Gerais do Sistema,32,RF-1.32,Obrigatório,TR,não iniciado,P0-P6,,n/a,Gerador de consultas para geração de resultados específicos não contratados no certame.
1,Especificações Gerais do Sistema,33,RF-1.33,Obrigatório,TR,não iniciado,P0-P6,,n/a,"Busca de registros de auditoria por palavra, intervalo de datas e usuário."
1,Especificações Gerais do Sistema,34,RF-1.34,Obrigatório,TR,não iniciado,P0-P6,,n/a,"Ferramenta de avaliação do nível de uso do sistema (inclusões, alterações, exclusões, consultas, relatórios impressos) por usuário, por sistema, por lotação/dep"
1,Especificações Gerais do Sistema,35,RF-1.35,Obrigatório,TR,não iniciado,P0-P6,,n/a,"Compatibilidade com bancos de dados padrão SQL-ANSI, demonstrada em ao menos 2 bancos diferentes, permitindo futura migração."
1,Especificações Gerais do Sistema,36,RF-1.36,Obrigatório,TR,não iniciado,P0-P6,,n/a,"Ferramenta de definição de calendário da Secretaria, com inclusão de diversos eventos por dia."
1,Especificações Gerais do Sistema,37,RF-1.37,Obrigatório,TR,não iniciado,P0-P6,,n/a,Emissão de relatórios do calendário com eventos lançados por data.
1,Especificações Gerais do Sistema,38,RF-1.38,Obrigatório,TR,não iniciado,P0-P6,,n/a,"Relatórios de acessos permitidos a usuários (por tela/tarefa, por área, por perfil)."
1,Especificações Gerais do Sistema,39,RF-1.39,Obrigatório,TR,não iniciado,P0-P6,,n/a,Ferramenta integrada de abertura de chamados de suporte técnico pela interface do sistema.
1,Especificações Gerais do Sistema,40,RF-1.40,Obrigatório,TR,não iniciado,P0-P6,,n/a,"Monitoramento de todas as etapas de resolução de chamado, da abertura até o ""de acordo"" final do usuário."
1,Especificações Gerais do Sistema,41,RF-1.41,Obrigatório,TR,não iniciado,P0-P6,,n/a,"Relatórios estatísticos de chamados (abertos, fechados, pendentes)."
1,Especificações Gerais do Sistema,42,RF-1.42,Obrigatório,TR,não iniciado,P0-P6,,n/a,"Endereços de pessoas físicas/jurídicas conectados ao Google Maps (ou equivalente), com visualização de localização e imagens de satélite na própria tela."
1,Especificações Gerais do Sistema,43,RF-1.43,Desejável,TR,não iniciado,P0-P6,,n/a,Mínimo de 10 gráficos com visão gerencial dos dados movimentados.
1,Especificações Gerais do Sistema,44,RF-1.44,Obrigatório,TR,não iniciado,P0-P6,,n/a,"Integração com plataforma OpenSource de monitoração de TI (métricas em séries temporais em tempo real: CPU, RAM, SWAP, carga do sistema, disco, tráfego de rede)"
1,Especificações Gerais do Sistema,45,RF-1.45,Obrigatório,TR,não iniciado,P0-P6,,n/a,Desenvolvimento em linguagem de programação de mercado que garanta portabilidade e manutenção.
1,Especificações Gerais do Sistema,46,RF-1.46,Obrigatório,TR,não iniciado,P0-P6,,n/a,Chat para comunicação entre usuários cadastrados e logados.
1,Especificações Gerais do Sistema,47,RF-1.47,Desejável,TR,não iniciado,P0-P6,,n/a,"Acesso via Gov.br, restrito a usuários previamente autorizados."
1,Especificações Gerais do Sistema,48,RF-1.48,Obrigatório,TR,não iniciado,P0-P6,,n/a,Autenticação em dois fatores no login (senha adicional enviada ao usuário).
1,Especificações Gerais do Sistema,49,RF-1.49,Obrigatório,TR,não iniciado,P0-P6,,n/a,"Dashboard inicial por usuário: gráfico de utilização do sistema, agenda de atividades, atalhos para telas mais usadas."
1,Especificações Gerais do Sistema,50,RF-1.50,Desejável,TR,não iniciado,P0-P6,,n/a,"Execução em Linux, Windows e macOS."
2,Módulo de Cadastros,1,RF-2.1,Obrigatório,ambos,não iniciado,P0-P6,,n/a,"Cadastro das unidades de saúde: nome/razão social, CNES/INE, tipo de estabelecimento, demanda padrão, procedimentos permitidos, tipos de atendimento, profission"
2,Módulo de Cadastros,2,RF-2.2,Obrigatório,ambos,parcial,P0-P6,apps/api/.../organization.py#professionals,n/a,"Cadastro de profissionais: CNS/CPF, nome, conselho profissional, UF do conselho, número do conselho, matrícula, documentos pessoais, origem, endereços, assinatu"
2,Módulo de Cadastros,3,RF-2.3,Obrigatório,ambos,parcial,P0-P6,,n/a,Cadastro de complexo regulador e tipo.
